description,category
Car repairs,Maintenance
Gym membership dues,Health & Fitness
Massage therapy session,Health & Fitness
Sporting events tickets,Entertainment
Rent,Rent
Prime subscription,Entertainment
Cinema,Entertainment
Plumbing,Maintenance
Protein,Health & Fitness
House,Rent
House,Maintenance
House problems,Maintenance
Trainer,Health & Fitness
Restaurant,Food
Sweets,Food
Pasta,Food
Spaghetti,Food
Formula 1,Entertainment
Pringles,Food
Life insurance,Insurance
Yoga class pass,Health & Fitness
Yoga mat purchase,Health & Fitness
Signed up for yoga retreat,Health & Fitness
House insurance,Insurance
House insurance,Insurance
Internet,Subscription
Prime subscription,Subscription
Microsoft subscription,Subscription
Pringles,Food
Groceries,Food
TV,Entertainment
Water,Food
Work,Payroll
Salary,Payroll
Microsoft subscription,Subscription
Youtube premium,Subscription
Beverage,Food
Fanta,Food
Coca cola,Food
Netflix subscription,Subscription
Water,Food
Water,Food
Sweets,Food
Employment,Payroll
Computer repair,Maintenance
Computer,Entertainment
Gym equipments,Health & Fitness
Computer repair,Maintenance
Broken pipe,Maintenance
Fanta,Food
Sprite,Food
Massage therapy session,Health & Fitness
Massage,Health & Fitness
Yoga,Health & Fitness
Fanta,Food
Yoga,Health & Fitness
Grocery,Food
Nintendo subscription,Subscription
Music,Entertainment
TV,Entertainment
bought a pack of biscuits,Food
visited a physiotherapist,Health & Fitness
paid water supply bill,Utility
subscribed to an audiobook service,Entertainment
paid rent for a coworking space,Rent
renewed car insurance policy,Insurance
air conditioner servicing charges,Maintenance
monthly salary for office assistant,Payroll
paid for an employee's wellness program,Benefits
bought office stationery,Miscellaneous
paid for parking space,Utility
bought a gift card,Entertainment
paid for home cleaning services,Maintenance
signed up for a cooking class,Food
bought flowers for the home,Miscellaneous
health insurance premium paid,Insurance
donated to a local charity,Miscellaneous
purchased decorations for a festival,Miscellaneous
paid for a comedy show pass,Entertainment
bought a board game for family night,Entertainment
